ensemblID	GeneName	ProteinName	Description	protein_length	protein1	protein2	mRNA1	mRNA2
ENSMUST00000070461;ENSMUST00000102830;ENSMUST00000107261	Mpdz;Mupp1	Multiple PDZ domain protein;Multi-PDZ domain protein 1;Mpdz protein	Isoform 3 of Multiple PDZ domain protein;Mpdz protein;Isoform 4 of Multiple PDZ domain protein;Isoform 1 of Multiple PDZ domain protein;Isoform 2 of Multiple PDZ domain protein	2072	958.34	2077.63	9.03	11.99
ENSMUST00000075012;ENSMUST00000106746;ENSMUST00000100305	Helz;Kiaa0054;RP23-338K8.3-003	Probable helicase with zinc finger domain;Helicase with zinc finger domain	helicase with zinc finger domain;Isoform 3 of Probable helicase with zinc finger domain;Helicase with zinc finger domain;Helicase with zinc finger domain	1965	983.16	225.06	7.52	8.35
ENSMUST00000007620;ENSMUST00000095078;ENSMUST00000113654	Lrrc8a;Lrrc8	Leucine-rich repeat-containing protein 8A	Leucine-rich repeat-containing protein 8A	810	989.38	1449.87	7.74	8.32
ENSMUST00000029723	Sh3d19	SH3 domain-containing protein 19;Kryn	Isoform 1 of SH3 domain-containing protein 19;Isoform 2 of SH3 domain-containing protein 19	789	989.98	309.53	11.99	17.96
ENSMUST00000006037;ENSMUST00000068304;ENSMUST00000081713	Ncoa2;Grip1;Tif2	Nuclear receptor coactivator 2;Transcriptional intermediary factor 2;Glucocorticoid receptor-interacting protein 1;Ncoa2 protein	Nuclear receptor coactivator 2;nuclear receptor coactivator 2 isoform b	1462	991.04	505.34	4.31	6.04
ENSMUST00000037248	Hirip3	HIRA-interacting protein 3	HIRA-interacting protein 3	601	991.23	844.68	12.98	12.34
ENSMUST00000002765	Prkd1;Pkcm;Pkd;Prkcm	Serine/threonine-protein kinase D1;nPKC-D1;Protein kinase D;Protein kinase C mu type;nPKC-mu	Serine/threonine-protein kinase D1	918	992.44	3489.69	4.62	6.71
ENSMUST00000045142	Ctnnal1;Catnal1	Alpha-catulin;Catenin alpha-like protein 1;Alpha-catenin-related protein	Alpha-catulin	731	997.22	251.32	5.1	6.91
ENSMUST00000100947;ENSMUST00000112642;ENSMUST00000011975	Evi5	Ecotropic viral integration site 5 protein;Putative uncharacterized protein	Ecotropic viral integration site 5 protein;Putative uncharacterized protein;Putative uncharacterized protein (Fragment);Putative uncharacterized protein	809	1008.89	1187.64	9.91	10.22
ENSMUST00000052346;ENSMUST00000108719	Llgl1;Llglh	Lethal(2) giant larvae protein homolog 1;Mlgl;Mgl-1;Putative uncharacterized protein	lethal giant larvae homolog 1 isoform 1;Lethal(2) giant larvae protein homolog 1;lethal giant larvae homolog 1 isoform 2	1062	1014.59	209.37	10.66	11.87
ENSMUST00000043551	Ankib1;Kiaa1386	Ankyrin repeat and IBR domain-containing protein 1	Ankib1 protein	1091	1016.61	408.41	19.08	23
ENSMUST00000020954	Ttc15	Tetratricopeptide repeat protein 15	Tetratricopeptide repeat protein 15	797	1018.95	2701.83	5.85	8.95
ENSMUST00000045884	Klhdc4	Kelch domain-containing protein 4	Kelch domain-containing protein 4	584	1019.79	533.63	7.87	6.53
ENSMUST00000042509;ENSMUST00000112845	Hisppd1;Kiaa0433;Vip2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2;InsP6 and PP-IP5 kinase 2;Histidine acid phosphatase domain-containing protein 1	140 kDa protein;Isoform 1 of Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2;Isoform 2 of Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1242	1020.22	227.65	8.86	6.53
ENSMUST00000031588	Usp30	Ubiquitin carboxyl-terminal hydrolase 30;Ubiquitin thioesterase 30;Ubiquitin-specific protease 30;Deubiquitinating enzyme 30	Ubiquitin carboxyl-terminal hydrolase 30	517	1039.93	52.52	10.77	10.38
ENSMUST00000018805;ENSMUST00000063776;ENSMUST00000106623	Cog1;Ldlb;RP23-407I21.1-002;RP23-407I21.1-008;RP23-407I21.1-006	Conserved oligomeric Golgi complex subunit 1;Component of oligomeric Golgi complex 1;Low density lipoprotein receptor defect B-complementing protein;Component of oligomeric golgi complex 1;Cog1 protein	Conserved oligomeric Golgi complex subunit 1;Cog1 protein;Component of oligomeric golgi complex 1;Component of oligomeric golgi complex 1	980	1040.19	867.27	18.12	23.86
ENSMUST00000074989	Bcl9l;B9l	B-cell CLL/lymphoma 9-like protein;BCL9-related beta-catenin-binding protein;Protein BCL9-2	Isoform 1 of B-cell CLL/lymphoma 9-like protein;Isoform 2 of B-cell CLL/lymphoma 9-like protein	1494	1042.15	419.35	13.2	12.23
ENSMUST00000056571;ENSMUST00000095899	Syne1	Synaptic nuclear envelope 1	synaptic nuclear envelope 1 isoform 3	8799	1055.25	1269.77	2.11	3.32
ENSMUST00000025835	Cpt1a;Cpt-1;Cpt1	"Carnitine O-palmitoyltransferase 1, liver isoform;Carnitine O-palmitoyltransferase I, liver isoform;Carnitine palmitoyltransferase 1A"	"Carnitine O-palmitoyltransferase 1, liver isoform"	773	1062.78	2041.71	13.63	22.54
ENSMUST00000043195	Tcf9	GC-rich sequence DNA-binding factor;Transcription factor 9	Isoform 1 of GC-rich sequence DNA-binding factor	769	1077.53	1413.79	2.9	2.44
ENSMUST00000069098	9830001H06Rik;RP23-430P1.3-001	Novel protein	hypothetical protein LOC320706	1654	1093.23	210.36	3.87	6.11
ENSMUST00000044721;ENSMUST00000103110;ENSMUST00000092663	Atp6v0a1;Atp6n1;RP23-278K23.1-003;mCG_20226	"V-type proton ATPase 116 kDa subunit a isoform 1;Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1;Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit;Vacuolar proton pump subunit 1;Vacuolar adenosine triphosphatase subunit Ac116;ATPase, H+ transporting, lysosomal V0 subunit a isoform 1;ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_a"	"ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_c;Isoform A1-II of V-type proton ATPase 116 kDa subunit a isoform 1;ATPase, H+ transporting, lysosomal V0 subunit a1;ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_a"	839	1094	5284.38	5.79	13.57
ENSMUST00000066529	Npr3	Atrial natriuretic peptide clearance receptor;Atrial natriuretic peptide C-type receptor;EF-2;Putative uncharacterized protein	Atrial natriuretic peptide receptor 3;natriuretic peptide receptor 3 isoform a;natriuretic peptide receptor 3 isoform b	536	1099.89	963.24	5.77	6.37
ENSMUST00000067005;ENSMUST00000095439;ENSMUST00000109927		Nesprin-3	Isoform 1 of Nesprin-3;Isoform 2 of Nesprin-3	975	1106.19	2278.18	4.9	6.11
ENSMUST00000022386;ENSMUST00000100672	Samd4a;Samd4;Smaug1	Protein Smaug homolog 1;Sterile alpha motif domain-containing protein 4A	Isoform 1 of Protein Smaug homolog 1;Isoform 3 of Protein Smaug homolog 1;Isoform 2 of Protein Smaug homolog 1	711	1124.67	7180.88	5.72	7.87
ENSMUST00000031859;ENSMUST00000120238	Trim24;Tif1;Tif1a	Transcription intermediary factor 1-alpha;Tripartite motif-containing protein 24;Putative uncharacterized protein	Isoform Long of Transcription intermediary factor 1-alpha;Isoform Short of Transcription intermediary factor 1-alpha;Putative uncharacterized protein	1051	1125.77	383.83	8.15	15.96
ENSMUST00000014642	Ankrd52	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	1076	1134.83	1496.12	23.99	21.46
ENSMUST00000037655;ENSMUST00000106127;ENSMUST00000106128	Lphn2;Kiaa0786	Latrophilin-2;Calcium-independent alpha-latrotoxin receptor 2	latrophilin 2;Isoform 2 of Latrophilin-2;Lphn2 protein	1488	1149.14	575.42	8.86	17.05
ENSMUST00000053407	Alkbh8	Alkylated DNA repair protein alkB homolog 8	Isoform 1 of Alkylated DNA repair protein alkB homolog 8;Isoform 2 of Alkylated DNA repair protein alkB homolog 8	664	1149.82	684.51	5.7	5.47
ENSMUST00000004145;ENSMUST00000107356;ENSMUST00000107357	Stat5a;Mgf;Mpf	STAT5a variant delta E18;Signal transducer and activator of transcription 5A;Mammary gland factor	signal transducer and activator of transcription 5A isoform 2;Signal transducer and activator of transcription 5A	797	1151.41	5486.84	3.7	4.92
ENSMUST00000009344	Xpo6;Ranbp20	Exportin-6;Ran-binding protein 20	Isoform 1 of Exportin-6;Isoform 2 of Exportin-6	1125	1151.88	3042.02	28.88	28.11
ENSMUST00000056665	Klhl11	Kelch-like protein 11	Isoform 1 of Kelch-like protein 11;Isoform 2 of Kelch-like protein 11	709	1156.51	1947.73	12.79	10.3
ENSMUST00000093138;ENSMUST00000101270	Tbc1d9b;Kiaa0676	TBC1 domain family member 9B	Isoform 1 of TBC1 domain family member 9B;Isoform 2 of TBC1 domain family member 9B	1263	1171.07	630.95	8.03	8.64
ENSMUST00000111785;ENSMUST00000028393;ENSMUST00000111788	Ssfa2;Kiaa1927;Krap;RP23-20E18.1-003	Sperm-specific antigen 2 homolog;Ki-ras-induced actin-interacting protein;Sperm specific antigen 2	sperm specific antigen 2;Isoform 1 of Sperm-specific antigen 2 homolog;Sperm specific antigen 2;Sperm specific antigen 2	1252	1175.27	459.71	7.68	10.39
ENSMUST00000019859	Gle1;Gle1l	Nucleoporin GLE1;GLE1-like protein	Nucleoporin GLE1	699	1198.89	131.81	16.81	17.52
ENSMUST00000010550	Mrpl52	"39S ribosomal protein L52, mitochondrial"	"Isoform 1 of 39S ribosomal protein L52, mitochondrial;Isoform 2 of 39S ribosomal protein L52, mitochondrial"	121	1213.4	595.27	35.76	34.75
ENSMUST00000047179;ENSMUST00000088395	Znf598;Zfp598	Zinc finger protein 598	Isoform 1 of Zinc finger protein 598;Isoform 3 of Zinc finger protein 598;Isoform 2 of Zinc finger protein 598	908	1224.17	353.99	19.39	20.73
ENSMUST00000065537	Jmy	Junction-mediating and -regulatory protein	Isoform 1 of Junction-mediating and -regulatory protein;Isoform 3 of Junction-mediating and -regulatory protein;Isoform 2 of Junction-mediating and -regulatory protein	983	1242.68	273.28	3.85	5.11
ENSMUST00000032335	Atf7ip;Mcaf1	Activating transcription factor 7-interacting protein 1;ATFa-associated modulator;MBD1-containing chromatin-associated factor 1	Isoform 1 of Activating transcription factor 7-interacting protein 1	1306	1258.76	177.62	10.13	9.17
ENSMUST00000040992	Nek9;Nercc;mCG_5513	Serine/threonine-protein kinase Nek9;Never in mitosis A-related kinase 9;NIMA (Never in mitosis gene a)-related expressed kinase 9	Serine/threonine-protein kinase Nek9;NIMA-related kinase 9	984	1264.2	509.58	10.53	13.15
ENSMUST00000034446;ENSMUST00000115277	Dpy19l1	Protein dpy-19 homolog 1;Dpy-19-like protein 1	Isoform 1 of Protein dpy-19 homolog 1;Isoform 2 of Protein dpy-19 homolog 1	746	1290.32	205.32	22.65	38.69
ENSMUST00000009321;ENSMUST00000115633	Dgcr8	Protein DGCR8;DiGeorge syndrome critical region 8 homolog;Gy1	Microprocessor complex subunit DGCR8	773	1293.12	269.8	13.64	10.76
ENSMUST00000106941;ENSMUST00000015107;ENSMUST00000106936;ENSMUST00000106939;ENSMUST00000106942	Tlk2;RP23-456M3.2-006;RP23-456M3.2-009	Tousled-like kinase 2 (Arabidopsis);Serine/threonine-protein kinase tousled-like 2;Tousled-like kinase 2	tousled-like kinase 2 isoform A;Isoform 1 of Serine/threonine-protein kinase tousled-like 2;Isoform 3 of Serine/threonine-protein kinase tousled-like 2;Isoform 2 of Serine/threonine-protein kinase tousled-like 2;Tousled-like kinase 2	750	1295.25	1994.03	7.95	8.61
ENSMUST00000088373;ENSMUST00000113169;ENSMUST00000113170;ENSMUST00000113171	Srgap3;Arhgap14;Kiaa0411;Srgap2	SLIT-ROBO Rho GTPase-activating protein 3;srGAP2;WAVE-associated Rac GTPase-activating protein;Rho GTPase-activating protein 14;GAP3	Isoform 1 of SLIT-ROBO Rho GTPase-activating protein 3;122 kDa protein;Isoform 2 of SLIT-ROBO Rho GTPase-activating protein 3;GAP3;Isoform 4 of SLIT-ROBO Rho GTPase-activating protein 3	1099	1300.96	3805.76	7.82	9.73
ENSMUST00000099274	Pdzd8	PDZ domain containing 8	PDZ domain containing 8	1147	1306.74	182.28	8.59	9.82
ENSMUST00000080723	Tax1bp1	Tax1-binding protein 1 homolog	Tax1-binding protein 1 homolog	814	1308.87	35706.13	33.96	35.55
ENSMUST00000022368	Plau	Urokinase-type plasminogen activator;Urokinase-type plasminogen activator long chain A;Urokinase-type plasminogen activator short chain A;Urokinase-type plasminogen activator chain B	Urokinase-type plasminogen activator	433	1315.18	2295.7	41.97	76.7
ENSMUST00000043305;ENSMUST00000105906	Wdtc1;Gm695;RP23-32C12.5-002	WD and tetratricopeptide repeats protein 1;WD and tetratricopeptide repeats 1	WD and tetratricopeptide repeats protein 1;WD and tetratricopeptide repeats 1	677	1317.39	2042.67	15.21	16.62
ENSMUST00000068206;ENSMUST00000087256;ENSMUST00000113715	Apbb2	Amyloid beta A4 precursor protein-binding family B member 2;Putative uncharacterized protein;TR2L	Isoform 1 of Amyloid beta A4 precursor protein-binding family B member 2;Putative uncharacterized protein;Isoform 2 of Amyloid beta A4 precursor protein-binding family B member 2;Isoform 3 of Amyloid beta A4 precursor protein-binding family B member 2;Puta	760	1317.69	2225.24	12.89	20.16
ENSMUST00000081721;ENSMUST00000114623;ENSMUST00000114618	Ezh2;Enx1h	Histone-lysine N-methyltransferase EZH2;Enhancer of zeste homolog 2;ENX-1;Putative uncharacterized protein;Ezh2 protein	Isoform ENX-1A of Histone-lysine N-methyltransferase EZH2;enhancer of zeste 2 isoform 1;Isoform ENX-1B of Histone-lysine N-methyltransferase EZH2;enhancer of zeste 2 isoform 2;81 kDa protein	746	1317.96	3525.45	34.43	26.17
ENSMUST00000093376;ENSMUST00000040448;ENSMUST00000109943	Mtmr3;RP23-173M6.1-003	Myotubularin-related protein 3;Myotubularin related protein 3	Isoform 1 of Myotubularin-related protein 3;Mtmr3 protein;myotubularin-related protein 3	1196	1319.31	270.27	7.1	9.62
ENSMUST00000075249;ENSMUST00000101279	Plekhg3;Kiaa0599	Pleckstrin homology domain-containing family G member 3	Isoform 1 of Pleckstrin homology domain-containing family G member 3;Isoform 2 of Pleckstrin homology domain-containing family G member 3;87 kDa protein	1341	1322.51	60.99	7.29	12.48
ENSMUST00000036862	Cog5	Conserved oligomeric Golgi complex subunit 5;Component of oligomeric Golgi complex 5	Conserved oligomeric Golgi complex subunit 5	829	1327.62	8789.03	3.84	5.13
ENSMUST00000049714;ENSMUST00000092834	Ap1gbp1;Syng	AP1 subunit gamma-binding protein 1;Gamma-synergin	Isoform 1 of Synergin gamma;Isoform 2 of Synergin gamma	1306	1331.83	459.78	3.35	4.11
ENSMUST00000099866	Aim1	Aim1 protein	absent in melanoma 1	1691	1334.12	2960.83	3.85	5.36
ENSMUST00000077440;ENSMUST00000109265;ENSMUST00000075922	Nfat5;mKIAA0827	Nuclear factor of activated T-cells 5;Transcription factor NFAT5;MKIAA0827 protein;T-cell transcription factor NFAT5;Rel domain-containing transcription factor NFAT5	"nuclear factor of activated T-cells 5 isoform b;Nuclear factor of activated T-cells 5, isoform CRA_b;nuclear factor of activated T-cells 5 isoform a;Nuclear factor of activated T-cells 5;Protein"	1552	1335.44	2098.23	12	21.65
ENSMUST00000032823;ENSMUST00000108283	Pak4;Kiaa1142	Serine/threonine-protein kinase PAK 4;p21-activated kinase 4	Serine/threonine-protein kinase PAK 4	593	1340.56	700.8	9.78	9.11
ENSMUST00000063531;ENSMUST00000097921	Cdkn2c	Cyclin-dependent kinase 4 inhibitor C;p18-INK4c;Cyclin-dependent kinase 6 inhibitor;p18-INK6	Cyclin-dependent kinase 4 inhibitor C	168	1343.52	14123.46	10.02	6.08
ENSMUST00000077303;ENSMUST00000110266;ENSMUST00000028769	Ptpra;Lrp;Ptpa	Receptor-type tyrosine-protein phosphatase alpha;LCA-related phosphatase;PTPTY-28;Putative uncharacterized protein	"protein tyrosine phosphatase, receptor type, A isoform 1;Isoform 1 of Receptor-type tyrosine-protein phosphatase alpha;protein tyrosine phosphatase, receptor type, A isoform 2"	829	1353.4	1725.49	20.81	22.14
ENSMUST00000022169	Hexb	Beta-hexosaminidase subunit beta;N-acetyl-beta-glucosaminidase subunit beta;Beta-N-acetylhexosaminidase subunit beta	Beta-hexosaminidase subunit beta	536	1357.84	7301.48	7.9	9.17
ENSMUST00000000451;ENSMUST00000112949	Raf1;Craf	RAF proto-oncogene serine/threonine-protein kinase;C-RAF;Raf-1	Isoform 2 of RAF proto-oncogene serine/threonine-protein kinase;Isoform 1 of RAF proto-oncogene serine/threonine-protein kinase	668	1372.35	2791.07	28.54	30.55
ENSMUST00000037644	Cbl	E3 ubiquitin-protein ligase CBL;Signal transduction protein CBL;Proto-oncogene c-CBL;Casitas B-lineage lymphoma proto-oncogene;Casitas B-lineage lymphoma	E3 ubiquitin-protein ligase CBL;Casitas B-lineage lymphoma	913	1386.79	27.14	6.72	6.67
ENSMUST00000041015;ENSMUST00000076226	Herc2;Jdf2;Kiaa0393;Rjs	Probable E3 ubiquitin-protein ligase HERC2;HECT domain and RCC1-like domain-containing protein 2	Isoform 1 of Probable E3 ubiquitin-protein ligase HERC2;Isoform 2 of Probable E3 ubiquitin-protein ligase HERC2	4836	1399.25	1048.21	8.28	12.64
ENSMUST00000033419;ENSMUST00000115266	Dock11;Ziz2;RP23-339O19.3-003	Dedicator of cytokinesis protein 11;Zizimin-2;Activated Cdc42-associated guanine nucleotide exchange factor;Dedicator of cytokinesis 11	Dedicator of cytokinesis protein 11;Dedicator of cytokinesis 11	2073	1399.81	3076.5	3.73	5.67
ENSMUST00000093454	Ell;mCG_23118	RNA polymerase II elongation factor ELL;Eleven-nineteen lysine-rich leukemia protein;Putative uncharacterized protein;Elongation factor RNA polymerase II	RNA polymerase II elongation factor ELL;elongation factor RNA polymerase II	602	1401.32	1602.88	5.72	9.84
ENSMUST00000074613;ENSMUST00000109438	Acyp2;RP23-145N4.2-001;Acyp	"Acylphosphatase;Acylphosphatase-2;Acylphosphate phosphohydrolase 2;Acylphosphatase, muscle type isozyme"	Acylphosphatase;Acylphosphatase-2	106	1402.85	10222.78	4.04	2.19
ENSMUST00000053917;ENSMUST00000115867	Ccny;Cfp1	Cyclin-Y;Cyclin fold protein 1	Isoform 1 of Cyclin-Y;Isoform 2 of Cyclin-Y	341	1403.19	1080.44	11.11	11.63
ENSMUST00000040783;ENSMUST00000113153	Usp40	Ubiquitin carboxyl-terminal hydrolase 40;Ubiquitin thioesterase 40;Ubiquitin-specific-processing protease 40;Deubiquitinating enzyme 40	Isoform 1 of Ubiquitin carboxyl-terminal hydrolase 40;Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 40;Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 40;Isoform 4 of Ubiquitin carboxyl-terminal hydrolase 40	1235	1409.03	71.53	6.74	6.78
ENSMUST00000022476	Glt8d1	Glycosyltransferase 8 domain-containing protein 1	Isoform 1 of Glycosyltransferase 8 domain-containing protein 1	371	1415.95	3323.68	6.25	5.55
ENSMUST00000076541	Cdk5rap2;Kiaa1633	CDK5 regulatory subunit-associated protein 2;CDK5 activator-binding protein C48	CDK5 regulatory subunit-associated protein 2	1822	1434.55	355.84	8.06	7.78
ENSMUST00000004208	Angptl2;RP23-35J6.3-001;mCG_18558;Arp2	"Angiopoietin-like 2;Putative uncharacterized protein;Angiopoietin-like 2, isoform CRA_a;Angiopoietin-related protein 2"	"Angiopoietin-like 2, isoform CRA_a;Angiopoietin-related protein 2;Putative uncharacterized protein"	493	1442.61	1643.87	39.44	64.34
ENSMUST00000034832	Ptpn9	Tyrosine-protein phosphatase non-receptor type 9;Protein-tyrosine phosphatase MEG2	Tyrosine-protein phosphatase non-receptor type 9	593	1451.04	8861.4	16.62	17.46
ENSMUST00000050646;ENSMUST00000037997;ENSMUST00000101075	Ttc19;RP23-330N10.4-004	Tetratricopeptide repeat protein 19;Putative uncharacterized protein;Tetratricopeptide repeat domain 19	Tetratricopeptide repeat protein 19;Putative uncharacterized protein;Tetratricopeptide repeat domain 19	365	1457.27	1895.69	8.19	6.85
ENSMUST00000022577	Zc3h13	Zinc finger CCCH type containing 13	Zinc finger CCCH type containing 13	1730	1458.2	208.32	5.42	6.3
ENSMUST00000040213;ENSMUST00000100662	Tyw1;Rsafd1	tRNA wybutosine-synthesizing protein 1 homolog;tRNA-yW-synthesizing protein;Radical S-adenosyl methionine and flavodoxin domain-containing protein 1	Isoform 1 of tRNA wybutosine-synthesizing protein 1 homolog;Isoform 2 of tRNA wybutosine-synthesizing protein 1 homolog;Isoform 3 of tRNA wybutosine-synthesizing protein 1 homolog;Protein	721	1474.29	1920.14	12.13	11.23
